('1997', 311):	
('1996', 773):	
('1995', 724):	
('1994', 554):	
('1993', 612):	
('1992', 761):	
('1991', 726):	
('1990', 839):	
('1989', 736):	
('1988', 709):	
('1987', 665):	
('1986', 891):	
('1985', 808):	
('1984', 998):	
('1983', 1019):	
('1982', 1058):	
('1981', 751):	
('1980', 199):	
('1979', 209):	
('1978', 790):	
('1977', 1138):	
('1976', 876):	
('1975', 733):	
('1974', 945):	
('1973', 634):	
('1972', 624):	
('1971', 822):	
('1970', 988):	
('1969', 1680):	
('1968', 954):	
('1967', 1146):	
('1966', 1980):	
('1965', 1808):	
('1964', 1949):	
('1963', 2093):	
('1962', 1646):	
('1961', 1613):	
('1960', 1522):	
('1959', 1172):	
('1958', 1194):	
('1957', 770):	
('1956', 823):	
('1955', 884):	
('1954', 754):	
('1953', 735):	
('1952', 827):	
('1951', 762):	
('1950', 758):	

