('2013', 3310):	
('2012', 3813):	
('2011', 3616):	
('2010', 3776):	
('2007', 494):	
('2006', 3306):	
('2005', 3187):	
('2004', 3083):	
('2003', 2724):	
('2002', 2908):	
('1999', 2610):	
('1998', 2707):	
('1997', 2577):	
('1996', 2754):	
('1995', 2499):	
('1994', 2592):	
('1993', 2432):	
('1992', 2551):	
('1991', 2383):	
('1990', 2073):	
('1989', 2089):	
('1988', 2037):	
('1987', 1912):	
('1986', 2591):	
('1985', 1846):	
('1984', 1695):	
('1983', 1608):	
('1982', 1676):	
('1981', 1670):	
('1980', 1606):	
('1979', 1421):	
('1978', 1355):	
('1977', 1242):	
('1976', 1592):	
('1975', 1098):	
('1974', 1096):	
('1973', 840):	
('1972', 850):	
('1971', 718):	
('1970', 276):	
('1969', 182):	
('1968', 159):	
('1967', 203):	
('1966', 202):	
('1965', 179):	

