('2014', 147):	
('2013', 731):	
('2012', 717):	
('2011', 782):	
('2010', 738):	
('2009', 741):	
('2008', 694):	
('2007', 652):	
('2006', 655):	
('2005', 625):	
('2004', 693):	
('2003', 691):	
('2002', 741):	
('2001', 727):	
('2000', 740):	
('1999', 802):	
('1998', 799):	
('1997', 782):	
('1996', 677):	
('1995', 775):	
('1994', 806):	
('1993', 761):	
('1992', 689):	
('1991', 642):	
('1990', 647):	
('1989', 606):	
('1988', 615):	
('1987', 590):	
('1986', 552):	
('1985', 575):	
('1984', 628):	
('1983', 723):	
('1982', 751):	
('1981', 795):	
('1980', 711):	
('1979', 810):	
('1978', 722):	
('1977', 803):	
('1976', 673):	
('1975', 551):	
('1974', 562):	
('1973', 697):	
('1972', 828):	
('1971', 789):	
('1970', 926):	
('1969', 950):	
('1968', 886):	
('1967', 1013):	
('1966', 1018):	
('1965', 923):	
('1964', 987):	
('1963', 881):	
